zenodo_deposition_id,country,title,doi,url,citation
16540126,Tokelau,Infrastructure Climate Resilience Assessment Data Starter Kit for Tokelau,10.5281/zenodo.16540126,https://zenodo.org/records/16540126,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Tokelau (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540126"
16539796,Turkmenistan,Infrastructure Climate Resilience Assessment Data Starter Kit for Turkmenistan,10.5281/zenodo.16539796,https://zenodo.org/records/16539796,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Turkmenistan (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539796"
16540037,East Timor,Infrastructure Climate Resilience Assessment Data Starter Kit for East Timor,10.5281/zenodo.16540037,https://zenodo.org/records/16540037,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for East Timor (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540037"
16540152,Tonga,Infrastructure Climate Resilience Assessment Data Starter Kit for Tonga,10.5281/zenodo.16540152,https://zenodo.org/records/16540152,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Tonga (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540152"
16539774,Trinidad and Tobago,Infrastructure Climate Resilience Assessment Data Starter Kit for Trinidad and Tobago,10.5281/zenodo.16539774,https://zenodo.org/records/16539774,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Trinidad and Tobago (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539774"
16540193,Tunisia,Infrastructure Climate Resilience Assessment Data Starter Kit for Tunisia,10.5281/zenodo.16540193,https://zenodo.org/records/16540193,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Tunisia (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540193"
16540141,Turkey,Infrastructure Climate Resilience Assessment Data Starter Kit for Turkey,10.5281/zenodo.16540141,https://zenodo.org/records/16540141,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Turkey (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540141"
16540145,Tuvalu,Infrastructure Climate Resilience Assessment Data Starter Kit for Tuvalu,10.5281/zenodo.16540145,https://zenodo.org/records/16540145,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Tuvalu (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540145"
10796689,Taiwan,Infrastructure Climate Resilience Assessment Data Starter Kit for Taiwan,10.5281/zenodo.10796689,https://zenodo.org/records/10796689,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Taiwan (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796689"
14536866,Tanzania,Infrastructure Climate Resilience Assessment Data Starter Kit for Tanzania,10.5281/zenodo.14536866,https://zenodo.org/records/14536866,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Tanzania (0.2.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.14536866"
10410840,Uganda,Infrastructure Climate Resilience Assessment Data Starter Kit for Uganda,10.5281/zenodo.10410840,https://zenodo.org/records/10410840,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Uganda (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410840"
16539730,Ukraine,Infrastructure Climate Resilience Assessment Data Starter Kit for Ukraine,10.5281/zenodo.16539730,https://zenodo.org/records/16539730,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Ukraine (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539730"
10410820,Uruguay,Infrastructure Climate Resilience Assessment Data Starter Kit for Uruguay,10.5281/zenodo.10410820,https://zenodo.org/records/10410820,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Uruguay (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410820"
16540129,North Pacific Islands (USA),Infrastructure Climate Resilience Assessment Data Starter Kit for North Pacific Islands (USA),10.5281/zenodo.16540129,https://zenodo.org/records/16540129,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for North Pacific Islands (USA) (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540129"
16540135,Uzbekistan,Infrastructure Climate Resilience Assessment Data Starter Kit for Uzbekistan,10.5281/zenodo.16540135,https://zenodo.org/records/16540135,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Uzbekistan (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540135"
10796659,Saint Vincent and the Grenadines,Infrastructure Climate Resilience Assessment Data Starter Kit for Saint Vincent and the Grenadines,10.5281/zenodo.10796659,https://zenodo.org/records/10796659,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Saint Vincent and the Grenadines (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796659"
16540089,Venezuela,Infrastructure Climate Resilience Assessment Data Starter Kit for Venezuela,10.5281/zenodo.16540089,https://zenodo.org/records/16540089,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Venezuela (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540089"
16540148,British Virgin Islands,Infrastructure Climate Resilience Assessment Data Starter Kit for British Virgin Islands,10.5281/zenodo.16540148,https://zenodo.org/records/16540148,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for British Virgin Islands (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540148"
10796619,United States Virgin Islands,Infrastructure Climate Resilience Assessment Data Starter Kit for United States Virgin Islands,10.5281/zenodo.10796619,https://zenodo.org/records/10796619,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for United States Virgin Islands (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796619"
10796572,Vietnam,Infrastructure Climate Resilience Assessment Data Starter Kit for Vietnam,10.5281/zenodo.10796572,https://zenodo.org/records/10796572,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Vietnam (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10796572"
16540217,Vanuatu,Infrastructure Climate Resilience Assessment Data Starter Kit for Vanuatu,10.5281/zenodo.16540217,https://zenodo.org/records/16540217,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Vanuatu (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540217"
16540180,Wallis and Futuna,Infrastructure Climate Resilience Assessment Data Starter Kit for Wallis and Futuna,10.5281/zenodo.16540180,https://zenodo.org/records/16540180,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Wallis and Futuna (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540180"
16540177,Samoa,Infrastructure Climate Resilience Assessment Data Starter Kit for Samoa,10.5281/zenodo.16540177,https://zenodo.org/records/16540177,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Samoa (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540177"
16539800,Yemen,Infrastructure Climate Resilience Assessment Data Starter Kit for Yemen,10.5281/zenodo.16539800,https://zenodo.org/records/16539800,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Yemen (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16539800"
15271243,South Africa,Infrastructure Climate Resilience Assessment Data Starter Kit for South Africa,10.5281/zenodo.15271243,https://zenodo.org/records/15271243,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for South Africa (0.2.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.15271243"
14536869,Zambia,Infrastructure Climate Resilience Assessment Data Starter Kit for Zambia,10.5281/zenodo.14536869,https://zenodo.org/records/14536869,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2024). Infrastructure Climate Resilience Assessment Data Starter Kit for Zambia (0.2.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.14536869"
16540058,Zimbabwe,Infrastructure Climate Resilience Assessment Data Starter Kit for Zimbabwe,10.5281/zenodo.16540058,https://zenodo.org/records/16540058,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2025). Infrastructure Climate Resilience Assessment Data Starter Kit for Zimbabwe (0.2.1) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.16540058"
